Name,City,State,OwnerType,Owner,Operator,Specialty,Region,License Status,Website,Notes
Fogel Endoscopy,Federal Way,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100197; Expires: 7/1/2027; Address: 34503 9th Ave S Ste 240, Federal Way, WA 98003-8726"
Rainier Surgical Center,Federal Way,WA,Physician-affiliated,Surgical Associates Northwest PC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60099146; Expires: 7/1/2027; Address: 34612 6th Ave S Ste 100, Federal Way, WA 98003-8723"
Peninsula Endoscopy Center,Gig Harbor,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100194; Expires: 7/1/2027; Address: 2727 Hollycroft St Ste 480, Gig Harbor, WA 98335-1312"
Soundview Ambulatory Surgery Center,Gig Harbor,WA,Physician group,Center for Minimally Invasive Surgery PLLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60738149; Expires: 8/30/2027; Address: 5801 Soundview Dr Ste 156, Gig Harbor, WA 98335-2215"
Eastside Endoscopy Center - Issaquah,Issaquah,WA,Physician group,The Eastside Endoscopy Center LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60262734; Expires: 2/7/2027; Address: 1301 4th Ave NW Ste 301, Issaquah, WA 98027-9369"
Eastside Surgery Center,Issaquah,WA,Independent / LLC,Eastside Medical Group LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60477711; Expires: 7/30/2026; Address: 1301 4th Ave NW Ste 201, Issaquah, WA 98027-9371"
Proliance Highlands Surgery Center,Issaquah,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101051; Expires: 7/1/2027; Address: 510 8th Ave NE Ste 100, Issaquah, WA 98029"
Virginia Mason Issaquah Medical Center,Issaquah,WA,Health system,Virginia Mason Health System,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101658; Expires: 1/1/2027; Address: 100 NE Gilman Blvd, Issaquah, WA 98027-2925"
Evergreen Endoscopy Center - Kirkland,Kirkland,WA,Physician group,"GH Evergreen Endoscopy Center Sub, LLC",Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.70015764; Expires: 9/7/2027; Address: 11800 NE 128th St Ste 100, Kirkland, WA 98034-7208"
Liebertz Plastic Surgery at Yarrow Bay,Kirkland,WA,Physician group,"Yarrow Bay Plastic Surgery, PLLC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60312375; Expires: 3/17/2027; Address: 5209 Lake Washington Blvd NE Ste 115, Kirkland, WA 98033-7355"
Marina Park Plastics,Kirkland,WA,Physician group,"Marina Park Plastics, PLLC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61104390; Expires: 7/1/2027; Address: 16 Central Way, Kirkland, WA 98033-6115"
NW Face and Body,Kirkland,WA,Physician group,Northwest Nasal Sinus Center P.S.,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60118035; Expires: 10/13/2027; Address: 3100 Carillon Pt, Kirkland, WA 98033-7306"
Proliance Eastside Surgery Center,Kirkland,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101042; Expires: 7/1/2027; Address: 12911 120th Ave NE Ste H110, Kirkland, WA 98034-3061"
Remington Plastic Surgery,Kirkland,WA,Physician group,Remington Plastic Surgery PS,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60103007; Expires: 7/1/2027; Address: 12303 NE 130th Ln Ste 350, Kirkland, WA 98034-3089"
Proliance Puget Sound Surgery Center,Lakewood,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101047; Expires: 7/1/2027; Address: 7308 Bridgeport Way W Ste 102, Lakewood, WA 98499-8000"
The Gallery of Cosmetic Surgery,Lynnwood,WA,Physician group,Alderwood Surgery Center LLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60100124; Expires: 7/1/2027; Address: 3500 188th St SW Ste 670, Lynnwood, WA 98037-4782"
Virginia Mason Lynnwood Medical Center,Lynnwood,WA,Health system,Virginia Mason Health System,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101659; Expires: 7/1/2027; Address: 19116 33rd Ave W, Lynnwood, WA 98036-4706"
Amadi Aesthetics Plastic Surgery,Mercer Island,WA,Physician group,Amadi Aesthetics Plastic Surgery PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61635121; Expires: 4/10/2028; Address: 7800 SE 27th St # CU100, Mercer Island, WA 98040-3087"
Phase Plastic Surgery,Mountlake Terrace,WA,Physician group,Baxter Plastic Surgery PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60100198; Expires: 7/1/2027; Address: 6100 219th St SW Ste 290, Mountlake Terrace, WA 98043-2222"
Proliance Center for Outpatient Spine and Joint Replacement Surgery,Mountlake Terrace,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Orthopedics,Puget Sound,Active,,"DOH Credential: ASF.FS.60783506; Expires: 12/4/2026; Address: 6808 220th St SW Ste 100, Mountlake Terrace, WA 98043-2187"
Pacific Surgery Center,Poulsbo,WA,Physician group,North Kitsap Ambulatory Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100106; Expires: 7/1/2027; Address: 20669 Bond Rd NE Ste 200, Poulsbo, WA 98370-6525"
Ambulatory Puyallup Surgicenter,Puyallup,WA,Unknown,"C.J. Chung M.D., PS",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101646; Expires: 7/1/2027; Address: 105 27th Ave SE, Puyallup, WA 98374-1150"
Cascade Laser & Surgery Center,Puyallup,WA,Physician group,"Cascade Eye & Skin Centers, P.C.",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60102509; Expires: 7/1/2027; Address: 1703 S Meridian Ste 201, Puyallup, WA 98371-7590"
Meridian Surgery Center,Puyallup,WA,Physician-affiliated,"Cascade Hernia And Surgical Solutions, P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100910; Expires: 7/1/2027; Address: 208 17th Ave SE Ste 201, Puyallup, WA 98372-4515"
MultiCare Surgery Center - NeoSpine,Puyallup,WA,Physician group,Neospine Puyallup Spine Center LLC,Unknown,Spine,Puget Sound,Active,,"DOH Credential: ASF.FS.60101867; Expires: 7/1/2027; Address: 1519 3rd St SE Ste 102, Puyallup, WA 98372-3742"
MultiCare Surgery Center - Puyallup,Puyallup,WA,Physician group,"Puyallup Ambulatory Surgery Center, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61498137; Expires: 8/12/2027; Address: 1519 3rd St SE Ste 240, Puyallup, WA 98372-3742"
Proliance Hillside Medical Surgery Center,Puyallup,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60614436; Expires: 7/1/2027; Address: 104 27th Ave SE, Puyallup, WA 98374-1145"
Proliance Surgery Center at Rainier,Puyallup,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101080; Expires: 7/1/2027; Address: 3801 5th St SE Ste 210, Puyallup, WA 98374-2106"
Puyallup Endoscopy Center,Puyallup,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100990; Expires: 7/1/2027; Address: 1703 S Meridian Ste 203, Puyallup, WA 98371-7590"
Sunrise Endoscopy Center,Puyallup,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100163; Expires: 7/1/2027; Address: 11216 Sunrise Blvd E Ste 201 Bldg 3, Puyallup, WA 98374-8848"
Northwest Eye Surgeons,Renton,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60977747; Expires: 12/30/2026; Address: 1412 SW 43rd St Ste 320, Renton, WA 98057-4803"
Plastic and Reconstructive Surgeons ASC,Renton,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60572737; Expires: 8/3/2027; Address: 17930 Talbot Rd S, Renton, WA 98055-6230"
Proliance Surgery Center at Valley,Renton,WA,Physician group,"Proliance Surgery Center at Valley, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61084629; Expires: 5/5/2027; Address: 4009 Talbot Rd S Ste 200, Renton, WA 98055-5781"
Allure Esthetic,Seattle,WA,Physician group,Alderwood Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60851025; Expires: 7/1/2027; Address: 600 Broadway Ste 320, Seattle, WA 98122-5371"
Evergreen Eye Center,Seattle,WA,Physician group,Evergreen Eye Center Inc PS,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60862319; Expires: 7/9/2027; Address: 1229 Madison St Ste 1250, Seattle, WA 98104-3568"
